"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Owner_Geo__c","keep","62009.0","False","STRING(Formula)","Owner Geo"
"Owner_Governed_by_WC__c","keep","6663.0","False","BOOLEAN","Is Owner Governed by WC?"
"Owner_Sub_Region__c","keep","60878.0","False","STRING(Formula)","Owner Sub Region"
"PCT_Direct_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","PCT Direct (Qty)"
"PDX_Region__c","remove_zero_populated_not_required","0.0","False","STRING","PDX Region"
"PFOI__c","keep","10971.0","False","STRING","PFOI"
"PO_Submitted__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","PO Submitted"
"Parent_Opportunity__c","remove_zero_populated_not_required","0.0","False","ID","Parent Opportunity"
"Partner_Account_Id__c","keep","4356.0","False","STRING","Partner Account Id"
"Partner_Account_Name__c","keep","4356.0","False","STRING","Partner Account Name"
"Payer_Account__c","remove_zero_populated_not_required","0.0","False","ID","Payer Account"
"Placement_Type__c","keep","12.0","False","STRING","Placement Type"
"Plan_Rate_Amount__c","keep","15960.0","False","DOUBLE","Plan Rate Amount"
"Platform_Needed_To_Run_the_Tender__c","keep","61639.0","False","STRING","Platform Needed To Run the Tender"
"Post_Submission_Request_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Post Submission Request Date"
"Potential_Annual_Revenue__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Potential Annual Revenue"
"Potential_Renewal_Date__c","keep","30142.0","False","DATE(Formula)","Potential Renewal Date"
"Pre_Inspection_Scheduled_Date__c","keep","2174.0","False","DATE","Pre-Inspection Scheduled Date"
"Pre_Submission_Request_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Pre-Submission Request Date"
"Previous_Amount__c","keep","25738.0","False","DOUBLE","Previous Amount"
"Previous_Test_Method__c","keep","21.0","False","STRING","Previous Test Method"
"Price_Per_Sample__c","keep","1.0","False","DOUBLE","Price Per Sample"
"Price_of_Current_Brand__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Price of Current Brand"
"Pricebook__c","keep","60147.0","False","STRING(Formula)","Pricebook"
"Pricing_Support__c","keep","78.0","False","STRING","Pricing Support"
"Prior_Contract_Value__c","keep","62266.0","False","DOUBLE(Formula)","Prior Contract Value"
